"STT","Checklist","Content","Status","","Status","","","","","","","","","","","","","","","","","","","","","","",""
"1","Install google tag","","Done","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Install google analytics","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Install google search","","Done","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Install bing search","","Done","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","Add proper title tags to all pages (unique)","","Done","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","Add meta descriptions to all pages (unique)","","Done","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","Add canonical URLs (self-referencing)","","Done","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","Add Open Graph tags","","Done","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","Add basic structured data (WebSite, Organization)","","Done","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","Heading","","Done","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","Schema","","Done","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","Optimize all images (alt text, compression)","","Not yet","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","Add FAQ schema","","Not yet","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","Review and improve internal linking","","Not yet","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","Add related content sections","","Not yet","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","Create privacy policy page","","Done","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","Create terms of service page","","Done","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","Chanel social","https://www.instagram.com/quranhuborg/
https://x.com/quranhuborg
https://www.facebook.com/Quranhub.org/
https://www.youtube.com/@Quranhuborg","Done","","","","","","","","","","","","","","","","","","","","","","","","",""
