"STT","Checklist","Content","Status"
"","","BASE","",""
"1","Install Google Tag Manager","GTM ID: GTM-T7DLMWMZ (installed in <head> and <body> noscript)","Done"
"","Install Google Analytics","No standalone GA code found. Likely configured via GTM","Need to verify"
"","Install Google Search Console","No google-site-verification meta tag found. May be verified via DNS or GTM","Need to verify"
"","Install Bing Webmaster","No msvalidate.01 meta tag found","Not yet"
"2","Add proper title tags to all pages (unique)","All pages share the same title: Từ điển Trung - Anh, Trung - Việt Online — NOT unique per page","Not yet"
"3","Add meta descriptions to all pages (unique)","All pages share the same description — NOT unique per page","Not yet"
"4","Add canonical URLs (self-referencing)","No <link rel=canonical> tag found on any page","Not yet"
"5","Add Open Graph tags","og:title, og:url, og:site_name, og:description, og:image, og:type present. fb:app_id empty. og:locale missing","Partial"
"6","Add basic structured data (WebSite, Organization)","WebSite schema with SearchAction present. Organization schema missing","Partial"
"7","Heading","SPA (Angular) — headings rendered client-side, not in initial HTML source","Need to verify"
"8","Schema","WebSite + SearchAction only. No Organization, SoftwareApplication, FAQ schema","Partial"
"9","Optimize all images (alt text, compression)","SPA — images loaded dynamically. Alt text audit needed on rendered pages","Not yet"
"10","Add FAQ schema","No FAQ structured data found","Not yet"
"11","Review and improve internal linking","Footer links to Introduction, Privacy, Terms, Help, Guides. Nav: Home, Translate, Test, Notebook, Community, Upgrade","Need to verify"
"12","Add related content sections","Topics section exists (HSK vocab, themed topics). Community with user contributions","Partial"
"13","Create privacy policy page","Available at /other/privacy-policy","Done"
"14","Create terms of service page","Available at /other/term","Done"
"15","Social media channels","https://www.facebook.com/tudientrungviet.hanzii
https://www.instagram.com/hanzii.chinesedict_/
https://www.tiktok.com/@hanzii.official
https://zalo.me/0976696764","Done"
"","","","",""
"","","HOMEPAGE — https://hanzii.net/","",""
"STT","Checklist","Content","Status"
"1","Title tag","Từ điển Trung - Anh, Trung - Việt Online (39 chars)","Needs improvement"
"2","Meta description","Từ điển Trung Việt, Trung Anh online miễn phí Hanzii, tra cứu chữ hán theo bộ, nét vẽ, hình ảnh. Tổng hợp đầy đủ cấu trúc ngữ pháp, mẫu câu và ví dụ minh họa (155 chars)","Done"
"3","Canonical URL","Missing — should be https://hanzii.net/","Not yet"
"4","H1 tag","SPA rendered — not in source HTML","Need to verify"
"5","OG tags","og:title ✓ | og:url: https://hanzii.net ✓ | og:image: ic_hanzii1024x1024.png ✓ | og:type: website ✓ | fb:app_id: empty | og:locale: missing","Partial"
"6","Schema markup","WebSite + SearchAction ✓ | Organization: missing | SoftwareApplication: missing","Partial"
"7","Keywords meta","Long keyword list present (Vietnamese + Chinese learning related)","Done"
"8","Robots meta","index,follow","Done"
"9","Language meta","<html lang=vi> + <meta name=language content=vi>","Done"
"10","Favicon","assets/images/ic_logo.ico","Done"
"11","Manifest (PWA)","manifest.json linked","Done"
"12","DMCA protection","DMCA badge script + verification meta tag present","Done"
"13","Twitter Card tags","Missing — no twitter:card, twitter:title, twitter:description, twitter:image","Not yet"
"14","Hreflang tags","Supports vi, en, ja, ko, ru via ?hl= param. No <link rel=alternate hreflang> tags","Not yet"
"","","","",""
"","","PAGE — /translate","",""
"STT","Checklist","Content","Status"
"1","Title tag","Same as homepage: Từ điển Trung - Anh, Trung - Việt Online — NOT unique","Not yet"
"2","Meta description","Same as homepage — NOT unique","Not yet"
"3","Canonical URL","Missing","Not yet"
"4","H1 tag","SPA rendered — not in source HTML","Need to verify"
"5","OG tags","Same as homepage — NOT page-specific","Not yet"
"6","Schema markup","No page-specific schema","Not yet"
"7","Twitter Card tags","Missing","Not yet"
"","","","",""
"","","PAGE — /test","",""
"STT","Checklist","Content","Status"
